country,Poverty,Poverty,Poverty,Poverty,Poverty,Poverty,Fragility,Fragility,Fragility,Fragility,Fragility,Fragility,GNI per capita,GNI per capita,GNI per capita,GNI per capita,GNI per capita,GNI per capita,Region,Region,Region,Region,Region,Region
country,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType,DataType
Djibouti,171171.3,182150.49,202640.11,197315.28,192086.18,192555.51,80.3,80.3,80.3,80,80.6,81.9,1137.14,1154.42,1181.23,1234.82,1280,1312.54,SSA,SSA,SSA,SSA,SSA,SSA
Dominican Republic,474765.41,383080.7,437087.97,286618.37,177651.75,53416.2,94.2,85,80.6,78.4,77.7,76.8,3195.37,3694.14,4288.61,4429.03,4550,4625.54,LAC,LAC,LAC,LAC,LAC,LAC
Ecuador,1277513.18,954639.06,624517.11,595204.87,522453.27,561311.75,87,81.2,79.9,80.3,81.2,81.7,3070.29,3210.39,3384.06,3806.51,3970,3928.89,LAC,LAC,LAC,LAC,LAC,LAC
"Egypt, Arab Rep.",1531900.79,1343781.18,1170084.79,875112.66,752804.49,688364.72,88.8,89.5,89.2,88.7,89,87.6,1364.57,1418.29,1596.26,1836.92,2070,2125.35,MENA,MENA,MENA,MENA,MENA,MENA
El Salvador,664626.23,531033.02,396530.31,358962.55,332157.58,406297.17,75.5,76.1,74.9,75.5,77.2,78.1,3172.63,3265.36,3405.35,3530.97,3370,3227.52,LAC,LAC,LAC,LAC,LAC,LAC
Ethiopia,29150851.61,19234721.25,14004420.44,12085245.83,7768585.14,6366510.1,91.1,91.9,95.3,96.1,98.9,98.8,181.94,208.9,234.12,285.74,330,354.91,SSA,SSA,SSA,SSA,SSA,SSA
Gabon,66204.96,61447.44,40798.06,33112.16,31963.13,38105.89,73.6,73.6,73.3,75,74.4,75.3,5822.17,5827.07,6863.9,7470.15,7370,7160.64,SSA,SSA,SSA,SSA,SSA,SSA
"Gambia, The",531663.64,466808.38,486560.4,454625.72,436756.33,442979.57,82.4,74,76,76.9,79,80.2,307.03,318.84,351.18,408.21,440,452.87,SSA,SSA,SSA,SSA,SSA,SSA
Georgia,600007.79,522206.13,375638.56,277789.29,249851.49,278867.15,82.2,82.2,82.3,83.8,91.8,90.4,1546.51,1847.07,2224.12,2500.26,2530,2428.09,ECA,ECA,ECA,ECA,ECA,ECA
Ghana,7186224.65,6715672.49,6327984.61,5783767.76,4842754.11,4793721.68,60.5,60.5,61.9,64.6,66.2,67.1,523.09,648.67,851.34,1173.59,1190,1208.87,SSA,SSA,SSA,SSA,SSA,SSA
Guatemala,1663145.48,1647372.49,1622790.07,1574041.58,1569601.34,1668627.73,91,84.3,81.4,80.6,80.6,81.2,2365.26,2473.76,2628.5,2724.77,2650,2596.99,LAC,LAC,LAC,LAC,LAC,LAC
Guinea,6196022.75,6356049.82,6373672.99,6614550.48,6719804.14,7205499.26,94.7,99,101.3,101.8,104.6,105,398,340.83,340.53,346.97,370,359.69,SSA,SSA,SSA,SSA,SSA,SSA
